Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,genome_001,genome_002,genome_003,genome_004,genome_005,genome_006,genome_007,genome_008,genome_009,genome_010,genome_011,genome_012,genome_013,genome_014,genome_015,genome_016,genome_017,genome_018,genome_019,genome_020,genome_021,genome_022,genome_023,genome_024,genome_025,genome_026,genome_027,genome_028,genome_029,genome_030
group_0143,group_0143,,,,,,,,,,,,,group_0143_genome_001_0,group_0143_genome_002_0,group_0143_genome_003_0,group_0143_genome_004_0,group_0143_genome_005_0,group_0143_genome_006_0,group_0143_genome_007_0,group_0143_genome_008_0,group_0143_genome_009_0,group_0143_genome_010_0,group_0143_genome_011_0;group_0143_genome_011_1,group_0143_genome_012_0,group_0143_genome_013_0,group_0143_genome_014_0,group_0143_genome_015_0;group_0143_genome_015_1,group_0143_genome_016_0,group_0143_genome_017_0,group_0143_genome_018_0,group_0143_genome_019_0,group_0143_genome_020_0,group_0143_genome_021_0,group_0143_genome_022_0,,group_0143_genome_024_0,group_0143_genome_025_0,group_0143_genome_026_0,group_0143_genome_027_0,group_0143_genome_028_0,,group_0143_genome_030_0
group_0144,group_0144,flagellar protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_0145,group_0145,flagellar protein,,,,,,,,,,,,group_0145_genome_001_0,group_0145_genome_002_0,group_0145_genome_003_0,group_0145_genome_004_0,group_0145_genome_005_0,group_0145_genome_006_0,group_0145_genome_007_0,group_0145_genome_008_0,group_0145_genome_009_0,group_0145_genome_010_0,group_0145_genome_011_0,group_0145_genome_012_0,group_0145_genome_013_0,group_0145_genome_014_0,group_0145_genome_015_0,group_0145_genome_016_0,group_0145_genome_017_0,group_0145_genome_018_0,group_0145_genome_019_0,group_0145_genome_020_0,group_0145_genome_021_0,group_0145_genome_022_0,group_0145_genome_023_0,group_0145_genome_024_0,group_0145_genome_025_0,,group_0145_genome_027_0,group_0145_genome_028_0;group_0145_genome_028_1,group_0145_genome_029_0,group_0145_genome_030_0
group_0146,group_0146,flagellar protein,,,,,,,,,,,,group_0146_genome_001_0,group_0146_genome_002_0,group_0146_genome_003_0,group_0146_genome_004_0,group_0146_genome_005_0,group_0146_genome_006_0,group_0146_genome_007_0,group_0146_genome_008_0,group_0146_genome_009_0,group_0146_genome_010_0;group_0146_genome_010_1,group_0146_genome_011_0,group_0146_genome_012_0,group_0146_genome_013_0,group_0146_genome_014_0,group_0146_genome_015_0;group_0146_genome_015_1,group_0146_genome_016_0,group_0146_genome_017_0,group_0146_genome_018_0,group_0146_genome_019_0,group_0146_genome_020_0,group_0146_genome_021_0,group_0146_genome_022_0,group_0146_genome_023_0,group_0146_genome_024_0,group_0146_genome_025_0,group_0146_genome_026_0,group_0146_genome_027_0,group_0146_genome_028_0,group_0146_genome_029_0,group_0146_genome_030_0
group_0147,group_0147,efflux pump,,,,,,,,,,,,group_0147_genome_001_0;group_0147_genome_001_1,group_0147_genome_002_0,group_0147_genome_003_0,group_0147_genome_004_0,group_0147_genome_005_0,group_0147_genome_006_0,group_0147_genome_007_0,group_0147_genome_008_0,group_0147_genome_009_0,group_0147_genome_010_0,group_0147_genome_011_0,group_0147_genome_012_0,group_0147_genome_013_0,group_0147_genome_014_0,group_0147_genome_015_0,group_0147_genome_016_0,group_0147_genome_017_0,group_0147_genome_018_0,group_0147_genome_019_0,group_0147_genome_020_0,group_0147_genome_021_0,group_0147_genome_022_0,group_0147_genome_023_0,group_0147_genome_024_0,group_0147_genome_025_0,group_0147_genome_026_0,group_0147_genome_027_0,group_0147_genome_028_0,group_0147_genome_029_0,group_0147_genome_030_0
group_0148,group_0148,,,,,,,,,,,,,group_0148_genome_001_0,group_0148_genome_002_0,group_0148_genome_003_0,group_0148_genome_004_0,group_0148_genome_005_0,group_0148_genome_006_0,group_0148_genome_007_0,group_0148_genome_008_0,group_0148_genome_009_0,group_0148_genome_010_0,group_0148_genome_011_0,group_0148_genome_012_0,group_0148_genome_013_0,group_0148_genome_014_0,group_0148_genome_015_0,group_0148_genome_016_0,group_0148_genome_017_0,group_0148_genome_018_0,group_0148_genome_019_0,group_0148_genome_020_0,group_0148_genome_021_0,group_0148_genome_022_0,group_0148_genome_023_0,group_0148_genome_024_0,group_0148_genome_025_0,group_0148_genome_026_0,group_0148_genome_027_0,group_0148_genome_028_0,group_0148_genome_029_0,group_0148_genome_030_0
group_0149,group_0149,flagellar protein,,,,,,,,,,,,group_0149_genome_001_0,group_0149_genome_002_0,group_0149_genome_003_0,group_0149_genome_004_0,group_0149_genome_005_0,group_0149_genome_006_0,group_0149_genome_007_0,group_0149_genome_008_0,group_0149_genome_009_0,group_0149_genome_010_0,group_0149_genome_011_0,group_0149_genome_012_0,group_0149_genome_013_0,group_0149_genome_014_0,group_0149_genome_015_0,group_0149_genome_016_0,group_0149_genome_017_0,group_0149_genome_018_0,group_0149_genome_019_0,,group_0149_genome_021_0,group_0149_genome_022_0,,group_0149_genome_024_0,,group_0149_genome_026_0,group_0149_genome_027_0,group_0149_genome_028_0,group_0149_genome_029_0,group_0149_genome_030_0
group_0150,group_0150,virulence factor,,,,,,,,,,,,,group_0150_genome_002_0,group_0150_genome_003_0;group_0150_genome_003_1,,group_0150_genome_005_0,group_0150_genome_006_0,group_0150_genome_007_0,group_0150_genome_008_0,group_0150_genome_009_0,group_0150_genome_010_0,,group_0150_genome_012_0,group_0150_genome_013_0,,group_0150_genome_015_0,group_0150_genome_016_0,,group_0150_genome_018_0,group_0150_genome_019_0,group_0150_genome_020_0,,,,group_0150_genome_024_0,group_0150_genome_025_0,,group_0150_genome_027_0,,group_0150_genome_029_0,
group_0151,group_0151,hypothetical protein,,,,,,,,,,,,group_0151_genome_001_0,group_0151_genome_002_0,group_0151_genome_003_0,group_0151_genome_004_0,group_0151_genome_005_0,group_0151_genome_006_0,group_0151_genome_007_0,group_0151_genome_008_0,group_0151_genome_009_0,group_0151_genome_010_0,group_0151_genome_011_0,group_0151_genome_012_0,group_0151_genome_013_0,group_0151_genome_014_0,group_0151_genome_015_0,group_0151_genome_016_0,group_0151_genome_017_0,group_0151_genome_018_0,group_0151_genome_019_0,group_0151_genome_020_0,group_0151_genome_021_0,group_0151_genome_022_0,group_0151_genome_023_0,group_0151_genome_024_0,group_0151_genome_025_0,,group_0151_genome_027_0,group_0151_genome_028_0,group_0151_genome_029_0,group_0151_genome_030_0
group_0152,group_0152,hypothetical protein,,,,,,,,,,,,group_0152_genome_001_0,group_0152_genome_002_0,group_0152_genome_003_0,group_0152_genome_004_0,group_0152_genome_005_0,group_0152_genome_006_0,group_0152_genome_007_0,group_0152_genome_008_0,group_0152_genome_009_0,group_0152_genome_010_0,group_0152_genome_011_0,group_0152_genome_012_0,group_0152_genome_013_0;group_0152_genome_013_1,group_0152_genome_014_0,group_0152_genome_015_0,group_0152_genome_016_0,group_0152_genome_017_0,group_0152_genome_018_0,group_0152_genome_019_0,group_0152_genome_020_0,group_0152_genome_021_0,group_0152_genome_022_0,group_0152_genome_023_0,group_0152_genome_024_0,group_0152_genome_025_0,group_0152_genome_026_0,group_0152_genome_027_0,,group_0152_genome_029_0;group_0152_genome_029_1,group_0152_genome_030_0
group_0153,group_0153,virulence factor,,,,,,,,,,,,,group_0153_genome_002_0,,group_0153_genome_004_0,,group_0153_genome_006_0,group_0153_genome_007_0,group_0153_genome_008_0,group_0153_genome_009_0,group_0153_genome_010_0,,,group_0153_genome_013_0,group_0153_genome_014_0,group_0153_genome_015_0,group_0153_genome_016_0,group_0153_genome_017_0,,group_0153_genome_019_0,,group_0153_genome_021_0,group_0153_genome_022_0,,,,group_0153_genome_026_0,group_0153_genome_027_0,,,
group_0154,group_0154,membrane transporter,,,,,,,,,,,,group_0154_genome_001_0,group_0154_genome_002_0,group_0154_genome_003_0,,,,group_0154_genome_007_0,,group_0154_genome_009_0,,group_0154_genome_011_0,,group_0154_genome_013_0,group_0154_genome_014_0,,,group_0154_genome_017_0,group_0154_genome_018_0,group_0154_genome_019_0,,group_0154_genome_021_0,group_0154_genome_022_0,,,,,,,group_0154_genome_029_0,group_0154_genome_030_0
group_0155,group_0155,beta-lactamase,,,,,,,,,,,,group_0155_genome_001_0,group_0155_genome_002_0,group_0155_genome_003_0,group_0155_genome_004_0,group_0155_genome_005_0,group_0155_genome_006_0,group_0155_genome_007_0,group_0155_genome_008_0,group_0155_genome_009_0,group_0155_genome_010_0,group_0155_genome_011_0,group_0155_genome_012_0,group_0155_genome_013_0,group_0155_genome_014_0,group_0155_genome_015_0,group_0155_genome_016_0,group_0155_genome_017_0,group_0155_genome_018_0,group_0155_genome_019_0,group_0155_genome_020_0,group_0155_genome_021_0,group_0155_genome_022_0,group_0155_genome_023_0,group_0155_genome_024_0,group_0155_genome_025_0,group_0155_genome_026_0,group_0155_genome_027_0,group_0155_genome_028_0;group_0155_genome_028_1,group_0155_genome_029_0,group_0155_genome_030_0
group_0156,group_0156,membrane transporter,,,,,,,,,,,,,,,,,,group_0156_genome_007_0,,,,,,,,,,,group_0156_genome_018_0,,,,,,,,,,group_0156_genome_028_0,,
group_0157,group_0157,flagellar protein,,,,,,,,,,,,group_0157_genome_001_0,group_0157_genome_002_0,group_0157_genome_003_0,,,,group_0157_genome_007_0,,,,group_0157_genome_011_0,group_0157_genome_012_0,group_0157_genome_013_0,group_0157_genome_014_0,,group_0157_genome_016_0,,,group_0157_genome_019_0,group_0157_genome_020_0,group_0157_genome_021_0,group_0157_genome_022_0,,group_0157_genome_024_0,group_0157_genome_025_0,,group_0157_genome_027_0,group_0157_genome_028_0,,group_0157_genome_030_0
group_0158,group_0158,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0158_genome_023_0,,,,,,,
group_0159,group_0159,efflux pump,,,,,,,,,,,,,,,,,,group_0159_genome_007_0,,,,group_0159_genome_011_0,,,,,,,,,,,,,,,,,,,
group_0160,group_0160,hypothetical protein,,,,,,,,,,,,group_0160_genome_001_0,group_0160_genome_002_0,group_0160_genome_003_0,group_0160_genome_004_0,group_0160_genome_005_0,group_0160_genome_006_0,group_0160_genome_007_0,group_0160_genome_008_0,group_0160_genome_009_0,group_0160_genome_010_0,group_0160_genome_011_0,group_0160_genome_012_0,group_0160_genome_013_0,group_0160_genome_014_0,group_0160_genome_015_0,group_0160_genome_016_0,group_0160_genome_017_0,group_0160_genome_018_0,group_0160_genome_019_0,group_0160_genome_020_0,group_0160_genome_021_0,group_0160_genome_022_0,group_0160_genome_023_0,group_0160_genome_024_0,group_0160_genome_025_0,group_0160_genome_026_0,group_0160_genome_027_0,group_0160_genome_028_0,group_0160_genome_029_0,group_0160_genome_030_0
group_0161,group_0161,DNA polymerase,,,,,,,,,,,,group_0161_genome_001_0,group_0161_genome_002_0,group_0161_genome_003_0,group_0161_genome_004_0,group_0161_genome_005_0;group_0161_genome_005_1,group_0161_genome_006_0,group_0161_genome_007_0,group_0161_genome_008_0,group_0161_genome_009_0,group_0161_genome_010_0,group_0161_genome_011_0,group_0161_genome_012_0,group_0161_genome_013_0,group_0161_genome_014_0,group_0161_genome_015_0,group_0161_genome_016_0,group_0161_genome_017_0,group_0161_genome_018_0,group_0161_genome_019_0;group_0161_genome_019_1,group_0161_genome_020_0,group_0161_genome_021_0,group_0161_genome_022_0,group_0161_genome_023_0,group_0161_genome_024_0,group_0161_genome_025_0,group_0161_genome_026_0,group_0161_genome_027_0,group_0161_genome_028_0,group_0161_genome_029_0,group_0161_genome_030_0
group_0162,group_0162,efflux pump,,,,,,,,,,,,,,,group_0162_genome_004_0,,,group_0162_genome_007_0,,,,,,,,,,,,,,,,,,,,,,,
group_0163,group_0163,beta-lactamase,,,,,,,,,,,,,,,group_0163_genome_004_0,group_0163_genome_005_0,group_0163_genome_006_0,group_0163_genome_007_0,group_0163_genome_008_0,,group_0163_genome_010_0,,group_0163_genome_012_0,group_0163_genome_013_0,,group_0163_genome_015_0,group_0163_genome_016_0,,,group_0163_genome_019_0,,group_0163_genome_021_0,,group_0163_genome_023_0,group_0163_genome_024_0,group_0163_genome_025_0,group_0163_genome_026_0,group_0163_genome_027_0,group_0163_genome_028_0,group_0163_genome_029_0,
group_0164,group_0164,flagellar protein,,,,,,,,,,,,group_0164_genome_001_0,group_0164_genome_002_0,group_0164_genome_003_0,group_0164_genome_004_0,group_0164_genome_005_0,group_0164_genome_006_0,group_0164_genome_007_0,group_0164_genome_008_0,group_0164_genome_009_0,group_0164_genome_010_0,group_0164_genome_011_0,,group_0164_genome_013_0,group_0164_genome_014_0,group_0164_genome_015_0,group_0164_genome_016_0,group_0164_genome_017_0,group_0164_genome_018_0,group_0164_genome_019_0,group_0164_genome_020_0,group_0164_genome_021_0,group_0164_genome_022_0,group_0164_genome_023_0,group_0164_genome_024_0,group_0164_genome_025_0,group_0164_genome_026_0,group_0164_genome_027_0,group_0164_genome_028_0,group_0164_genome_029_0,group_0164_genome_030_0
group_0165,group_0165,,,,,,,,,,,,,,,group_0165_genome_003_0,,group_0165_genome_005_0,group_0165_genome_006_0,group_0165_genome_007_0,,group_0165_genome_009_0,group_0165_genome_010_0,group_0165_genome_011_0,,group_0165_genome_013_0,group_0165_genome_014_0,,group_0165_genome_016_0,group_0165_genome_017_0,group_0165_genome_018_0,group_0165_genome_019_0,group_0165_genome_020_0,group_0165_genome_021_0,,group_0165_genome_023_0,,group_0165_genome_025_0,group_0165_genome_026_0;group_0165_genome_026_1,group_0165_genome_027_0,group_0165_genome_028_0,group_0165_genome_029_0,group_0165_genome_030_0
group_0166,group_0166,DNA polymerase,,,,,,,,,,,,group_0166_genome_001_0,group_0166_genome_002_0,group_0166_genome_003_0,group_0166_genome_004_0,group_0166_genome_005_0,group_0166_genome_006_0,group_0166_genome_007_0,group_0166_genome_008_0,group_0166_genome_009_0,group_0166_genome_010_0,group_0166_genome_011_0,group_0166_genome_012_0,group_0166_genome_013_0,group_0166_genome_014_0,group_0166_genome_015_0,group_0166_genome_016_0,group_0166_genome_017_0,group_0166_genome_018_0,group_0166_genome_019_0,group_0166_genome_020_0,group_0166_genome_021_0,group_0166_genome_022_0,group_0166_genome_023_0,,group_0166_genome_025_0,group_0166_genome_026_0,group_0166_genome_027_0,group_0166_genome_028_0,group_0166_genome_029_0,group_0166_genome_030_0
group_0167,group_0167,,,,,,,,,,,,,,group_0167_genome_002_0,group_0167_genome_003_0,group_0167_genome_004_0,group_0167_genome_005_0,,,group_0167_genome_008_0,,group_0167_genome_010_0,,group_0167_genome_012_0,,,,group_0167_genome_016_0,,group_0167_genome_018_0,,group_0167_genome_020_0,,group_0167_genome_022_0,,group_0167_genome_024_0,group_0167_genome_025_0,,,group_0167_genome_028_0,,
group_0168,group_0168,DNA polymerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0168_genome_022_0,,,,group_0168_genome_026_0,,,,
group_0169,group_0169,hypothetical protein,,,,,,,,,,,,,,group_0169_genome_003_0;group_0169_genome_003_1,,,,group_0169_genome_007_0,group_0169_genome_008_0,,group_0169_genome_010_0,,group_0169_genome_012_0,group_0169_genome_013_0,group_0169_genome_014_0,group_0169_genome_015_0,group_0169_genome_016_0,group_0169_genome_017_0,,,group_0169_genome_020_0,group_0169_genome_021_0,group_0169_genome_022_0,group_0169_genome_023_0,group_0169_genome_024_0,group_0169_genome_025_0,group_0169_genome_026_0,group_0169_genome_027_0,,group_0169_genome_029_0,group_0169_genome_030_0
group_0170,group_0170,DNA polymerase,,,,,,,,,,,,group_0170_genome_001_0,group_0170_genome_002_0,group_0170_genome_003_0,group_0170_genome_004_0,group_0170_genome_005_0,group_0170_genome_006_0,group_0170_genome_007_0,group_0170_genome_008_0,group_0170_genome_009_0,group_0170_genome_010_0,group_0170_genome_011_0,group_0170_genome_012_0,group_0170_genome_013_0,group_0170_genome_014_0,group_0170_genome_015_0,group_0170_genome_016_0,group_0170_genome_017_0,group_0170_genome_018_0,,group_0170_genome_020_0,group_0170_genome_021_0,group_0170_genome_022_0,group_0170_genome_023_0,group_0170_genome_024_0,group_0170_genome_025_0,group_0170_genome_026_0,group_0170_genome_027_0,group_0170_genome_028_0,group_0170_genome_029_0,group_0170_genome_030_0
group_0171,group_0171,efflux pump,,,,,,,,,,,,group_0171_genome_001_0,group_0171_genome_002_0,group_0171_genome_003_0,group_0171_genome_004_0,group_0171_genome_005_0,group_0171_genome_006_0,group_0171_genome_007_0,,group_0171_genome_009_0,group_0171_genome_010_0,group_0171_genome_011_0,group_0171_genome_012_0,group_0171_genome_013_0,group_0171_genome_014_0,group_0171_genome_015_0,group_0171_genome_016_0,group_0171_genome_017_0,group_0171_genome_018_0,group_0171_genome_019_0,group_0171_genome_020_0,group_0171_genome_021_0,group_0171_genome_022_0,group_0171_genome_023_0,group_0171_genome_024_0,group_0171_genome_025_0,group_0171_genome_026_0,group_0171_genome_027_0,group_0171_genome_028_0,group_0171_genome_029_0,group_0171_genome_030_0
group_0172,group_0172,DNA polymerase,,,,,,,,,,,,group_0172_genome_001_0,,group_0172_genome_003_0,group_0172_genome_004_0,,group_0172_genome_006_0,,group_0172_genome_008_0,,group_0172_genome_010_0,,,group_0172_genome_013_0,,group_0172_genome_015_0,group_0172_genome_016_0,,group_0172_genome_018_0,group_0172_genome_019_0,group_0172_genome_020_0,group_0172_genome_021_0,,group_0172_genome_023_0,,group_0172_genome_025_0,,group_0172_genome_027_0,,group_0172_genome_029_0,group_0172_genome_030_0
group_0173,group_0173,flagellar protein,,,,,,,,,,,,group_0173_genome_001_0,group_0173_genome_002_0,group_0173_genome_003_0,group_0173_genome_004_0,group_0173_genome_005_0;group_0173_genome_005_1,group_0173_genome_006_0,group_0173_genome_007_0,group_0173_genome_008_0,group_0173_genome_009_0,group_0173_genome_010_0,group_0173_genome_011_0,group_0173_genome_012_0,,group_0173_genome_014_0,group_0173_genome_015_0,group_0173_genome_016_0,group_0173_genome_017_0,group_0173_genome_018_0,group_0173_genome_019_0,group_0173_genome_020_0,,group_0173_genome_022_0,group_0173_genome_023_0,group_0173_genome_024_0;group_0173_genome_024_1,group_0173_genome_025_0,group_0173_genome_026_0,group_0173_genome_027_0,group_0173_genome_028_0,group_0173_genome_029_0,group_0173_genome_030_0
group_0174,group_0174,efflux pump,,,,,,,,,,,,group_0174_genome_001_0,group_0174_genome_002_0,group_0174_genome_003_0,group_0174_genome_004_0,group_0174_genome_005_0,group_0174_genome_006_0,group_0174_genome_007_0,group_0174_genome_008_0,group_0174_genome_009_0,group_0174_genome_010_0,group_0174_genome_011_0,group_0174_genome_012_0,group_0174_genome_013_0,group_0174_genome_014_0,group_0174_genome_015_0;group_0174_genome_015_1,group_0174_genome_016_0,group_0174_genome_017_0,group_0174_genome_018_0,group_0174_genome_019_0,group_0174_genome_020_0,group_0174_genome_021_0,group_0174_genome_022_0,group_0174_genome_023_0,group_0174_genome_024_0,group_0174_genome_025_0,,group_0174_genome_027_0,group_0174_genome_028_0,group_0174_genome_029_0,group_0174_genome_030_0
group_0175,group_0175,membrane transporter,,,,,,,,,,,,,,group_0175_genome_003_0,,,group_0175_genome_006_0,group_0175_genome_007_0,group_0175_genome_008_0,group_0175_genome_009_0,group_0175_genome_010_0,,group_0175_genome_012_0,group_0175_genome_013_0,group_0175_genome_014_0,,group_0175_genome_016_0,group_0175_genome_017_0,,group_0175_genome_019_0,,,group_0175_genome_022_0,group_0175_genome_023_0,group_0175_genome_024_0,group_0175_genome_025_0,group_0175_genome_026_0,,,,
group_0176,group_0176,membrane transporter,,,,,,,,,,,,group_0176_genome_001_0,group_0176_genome_002_0,group_0176_genome_003_0,group_0176_genome_004_0,,group_0176_genome_006_0,group_0176_genome_007_0,group_0176_genome_008_0,group_0176_genome_009_0,group_0176_genome_010_0,group_0176_genome_011_0,group_0176_genome_012_0,group_0176_genome_013_0,group_0176_genome_014_0,group_0176_genome_015_0,group_0176_genome_016_0,group_0176_genome_017_0,group_0176_genome_018_0,group_0176_genome_019_0,,group_0176_genome_021_0,group_0176_genome_022_0,group_0176_genome_023_0,group_0176_genome_024_0,group_0176_genome_025_0,group_0176_genome_026_0,group_0176_genome_027_0,group_0176_genome_028_0,group_0176_genome_029_0,group_0176_genome_030_0
group_0177,group_0177,efflux pump,,,,,,,,,,,,group_0177_genome_001_0,group_0177_genome_002_0,group_0177_genome_003_0,group_0177_genome_004_0,group_0177_genome_005_0,group_0177_genome_006_0,group_0177_genome_007_0,group_0177_genome_008_0,group_0177_genome_009_0,group_0177_genome_010_0,group_0177_genome_011_0,group_0177_genome_012_0,group_0177_genome_013_0,group_0177_genome_014_0,group_0177_genome_015_0,group_0177_genome_016_0,group_0177_genome_017_0,group_0177_genome_018_0,group_0177_genome_019_0,group_0177_genome_020_0,,group_0177_genome_022_0,group_0177_genome_023_0,group_0177_genome_024_0,group_0177_genome_025_0,group_0177_genome_026_0,group_0177_genome_027_0,group_0177_genome_028_0,group_0177_genome_029_0,group_0177_genome_030_0
group_0178,group_0178,virulence factor,,,,,,,,,,,,,,,,,,,,,group_0178_genome_010_0,,group_0178_genome_012_0,,,,,,,,,,,,,,,,,,
group_0179,group_0179,efflux pump,,,,,,,,,,,,group_0179_genome_001_0,group_0179_genome_002_0,group_0179_genome_003_0,group_0179_genome_004_0,group_0179_genome_005_0,group_0179_genome_006_0,group_0179_genome_007_0,group_0179_genome_008_0,group_0179_genome_009_0,group_0179_genome_010_0,group_0179_genome_011_0,group_0179_genome_012_0,group_0179_genome_013_0,group_0179_genome_014_0,,group_0179_genome_016_0;group_0179_genome_016_1,group_0179_genome_017_0,group_0179_genome_018_0,group_0179_genome_019_0,group_0179_genome_020_0,group_0179_genome_021_0,group_0179_genome_022_0,group_0179_genome_023_0,group_0179_genome_024_0,group_0179_genome_025_0,group_0179_genome_026_0,group_0179_genome_027_0,group_0179_genome_028_0,group_0179_genome_029_0,group_0179_genome_030_0
group_0180,group_0180,DNA polymerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_0181,group_0181,hypothetical protein,,,,,,,,,,,,group_0181_genome_001_0,group_0181_genome_002_0,group_0181_genome_003_0,group_0181_genome_004_0,group_0181_genome_005_0,group_0181_genome_006_0,group_0181_genome_007_0,group_0181_genome_008_0,group_0181_genome_009_0,group_0181_genome_010_0,group_0181_genome_011_0,group_0181_genome_012_0,group_0181_genome_013_0,group_0181_genome_014_0,group_0181_genome_015_0,group_0181_genome_016_0,group_0181_genome_017_0,group_0181_genome_018_0,group_0181_genome_019_0,group_0181_genome_020_0,group_0181_genome_021_0,group_0181_genome_022_0,group_0181_genome_023_0,group_0181_genome_024_0,group_0181_genome_025_0,group_0181_genome_026_0,group_0181_genome_027_0,group_0181_genome_028_0,group_0181_genome_029_0,group_0181_genome_030_0
group_0182,group_0182,,,,,,,,,,,,,group_0182_genome_001_0,group_0182_genome_002_0,group_0182_genome_003_0,group_0182_genome_004_0,,group_0182_genome_006_0,group_0182_genome_007_0,group_0182_genome_008_0,group_0182_genome_009_0,group_0182_genome_010_0,group_0182_genome_011_0,group_0182_genome_012_0,group_0182_genome_013_0,group_0182_genome_014_0,group_0182_genome_015_0,group_0182_genome_016_0,group_0182_genome_017_0,group_0182_genome_018_0,group_0182_genome_019_0,group_0182_genome_020_0,group_0182_genome_021_0,group_0182_genome_022_0,group_0182_genome_023_0,group_0182_genome_024_0,group_0182_genome_025_0,group_0182_genome_026_0,group_0182_genome_027_0,group_0182_genome_028_0,group_0182_genome_029_0,group_0182_genome_030_0
group_0183,group_0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_0184,group_0184,beta-lactamase,,,,,,,,,,,,group_0184_genome_001_0,group_0184_genome_002_0,group_0184_genome_003_0,group_0184_genome_004_0,group_0184_genome_005_0,group_0184_genome_006_0,group_0184_genome_007_0,group_0184_genome_008_0,group_0184_genome_009_0,group_0184_genome_010_0,group_0184_genome_011_0,group_0184_genome_012_0,group_0184_genome_013_0,group_0184_genome_014_0,group_0184_genome_015_0,group_0184_genome_016_0,group_0184_genome_017_0,group_0184_genome_018_0,group_0184_genome_019_0,group_0184_genome_020_0,group_0184_genome_021_0,group_0184_genome_022_0;group_0184_genome_022_1,group_0184_genome_023_0,group_0184_genome_024_0,group_0184_genome_025_0,group_0184_genome_026_0,group_0184_genome_027_0,group_0184_genome_028_0,group_0184_genome_029_0,group_0184_genome_030_0
group_0185,group_0185,efflux pump,,,,,,,,,,,,group_0185_genome_001_0;group_0185_genome_001_1,group_0185_genome_002_0,group_0185_genome_003_0,group_0185_genome_004_0,group_0185_genome_005_0,group_0185_genome_006_0,group_0185_genome_007_0,group_0185_genome_008_0,group_0185_genome_009_0,group_0185_genome_010_0,group_0185_genome_011_0,group_0185_genome_012_0,group_0185_genome_013_0,group_0185_genome_014_0,group_0185_genome_015_0,group_0185_genome_016_0,group_0185_genome_017_0,group_0185_genome_018_0,group_0185_genome_019_0,,group_0185_genome_021_0,group_0185_genome_022_0,group_0185_genome_023_0,group_0185_genome_024_0,group_0185_genome_025_0,group_0185_genome_026_0,group_0185_genome_027_0,,group_0185_genome_029_0,group_0185_genome_030_0
group_0186,group_0186,membrane transporter,,,,,,,,,,,,group_0186_genome_001_0,group_0186_genome_002_0,group_0186_genome_003_0,group_0186_genome_004_0,group_0186_genome_005_0,group_0186_genome_006_0,group_0186_genome_007_0,group_0186_genome_008_0,group_0186_genome_009_0,group_0186_genome_010_0,group_0186_genome_011_0,group_0186_genome_012_0;group_0186_genome_012_1,group_0186_genome_013_0,group_0186_genome_014_0,group_0186_genome_015_0,group_0186_genome_016_0;group_0186_genome_016_1,group_0186_genome_017_0,group_0186_genome_018_0,group_0186_genome_019_0,group_0186_genome_020_0,group_0186_genome_021_0,group_0186_genome_022_0,group_0186_genome_023_0,group_0186_genome_024_0,group_0186_genome_025_0,group_0186_genome_026_0,group_0186_genome_027_0,group_0186_genome_028_0,group_0186_genome_029_0,group_0186_genome_030_0
group_0187,group_0187,flagellar protein,,,,,,,,,,,,group_0187_genome_001_0,group_0187_genome_002_0,group_0187_genome_003_0,group_0187_genome_004_0,group_0187_genome_005_0,group_0187_genome_006_0,group_0187_genome_007_0,group_0187_genome_008_0,group_0187_genome_009_0,group_0187_genome_010_0,group_0187_genome_011_0,group_0187_genome_012_0,group_0187_genome_013_0,group_0187_genome_014_0,group_0187_genome_015_0,group_0187_genome_016_0,group_0187_genome_017_0,group_0187_genome_018_0,group_0187_genome_019_0,group_0187_genome_020_0,group_0187_genome_021_0,group_0187_genome_022_0,group_0187_genome_023_0,group_0187_genome_024_0,group_0187_genome_025_0,group_0187_genome_026_0,group_0187_genome_027_0,group_0187_genome_028_0,group_0187_genome_029_0,group_0187_genome_030_0
group_0188,group_0188,DNA polymerase,,,,,,,,,,,,,,,group_0188_genome_004_0,group_0188_genome_005_0,group_0188_genome_006_0,group_0188_genome_007_0;group_0188_genome_007_1,group_0188_genome_008_0,,group_0188_genome_010_0,group_0188_genome_011_0,,group_0188_genome_013_0,group_0188_genome_014_0,group_0188_genome_015_0,group_0188_genome_016_0,,group_0188_genome_018_0,,group_0188_genome_020_0,group_0188_genome_021_0,group_0188_genome_022_0,group_0188_genome_023_0,,group_0188_genome_025_0,group_0188_genome_026_0,group_0188_genome_027_0,group_0188_genome_028_0,,
